Differences between version 2 (plotpoints2.txt) and version 3 (plotpoints3.txt) of the regional temperature anomalies 
employed by Ruosteenoja et al. (2003) (see 
http://www.ipcc-data.org/sres/scatter_plots/scatterplots_home.html and http://www.ipcc-data.org/sres/scatter_plots/csiro_error.html for more details).

The differences apply only to the CSIRO model, and are listed below (plotpoints3.txt - plotpoints2.txt):

                                               A2,    B2,  A1FI,    B1
REGION 22, TIME SLICE 2010-2039, MAR-MAY:: -0.00, -0.04, -0.00, -0.04
REGION 22, TIME SLICE 2010-2039, JUN-AUG::  0.02,  0.00,  0.02, -0.01
REGION 22, TIME SLICE 2010-2039, SEP-NOV::  0.01, -0.01,  0.01, -0.01
REGION 22, TIME SLICE 2040-2069, DEC-FEB::  0.00, -0.02,  0.00, -0.01
REGION 22, TIME SLICE 2040-2069, MAR-MAY::  0.04,  0.04,  0.06,  0.03
REGION 22, TIME SLICE 2040-2069, JUN-AUG:: -0.01, -0.01, -0.01, -0.02
REGION 22, TIME SLICE 2040-2069, SEP-NOV:: -0.00, -0.01, -0.00, -0.00
REGION 22, TIME SLICE 2070-2099, DEC-FEB:: -0.02, -0.02, -0.03, -0.02
REGION 22, TIME SLICE 2070-2099, MAR-MAY::  0.02,  0.02,  0.03,  0.02
REGION 22, TIME SLICE 2070-2099, JUN-AUG:: -0.08, -0.06, -0.10, -0.06
